Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
apple,manzana,perro,mesa,ropa
house,casa,libro,manzana,cabeza
water,agua,cama,gato,luna
book,libro,zapato,pared,tierra
dog,perro,flor,plato,nube
cat,gato,río,puerta,sol
sun,sol,pez,carne,papel
moon,luna,carro,silla,mano
car,coche,planta,verde,árbol
tree,árbol,camisa,piedra,pan
table,mesa,hijo,mar,cama
chair,silla,fruta,fuego,noche
milk,leche,viento,río,pared
bread,pan,lago,voz,humo
fire,fuego,estrella,plato,pasto
star,estrella,sangre,techo,arena
night,noche,camino,perro,mano
day,día,hoja,pez,copa
child,niño,reloj,sol,pan
mother,madre,papel,árbol,puerta
father,padre,nube,cabeza,flor
hand,mano,carne,ropa,barco
foot,pie,luz,ciudad,hijo
head,cabeza,leche,mariposa,árbol
window,ventana,botella,pan,pez
door,puerta,pera,nube,hoja
road,camino,cama,arena,voz
city,ciudad,pasto,flor,zapato
sea,mar,silla,luna,vino
river,río,plato,tren,estrella
shoe,zapato,barco,puente,río
shirt,camisa,sol,árbol,nieve
food,comida,pluma,mesa,nube
friend,amigo,piedra,calle,humo
family,familia,lago,mano,carne
flower,flor,pared,camino,viento
bird,pájaro,puerta,nube,pan
fish,pez,mesa,tierra,camisa
mountain,montaña,perro,libro,coche
lake,lago,árbol,fuego,silla
earth,tierra,camisa,río,mano
wind,viento,libro,flor,humo
rain,lluvia,pan,puente,ciudad
snow,nieve,carne,niño,puerta
cloud,nube,silla,papel,río
sky,cielo,pantera,arena,plato
school,escuela,perro,cola,hoja
student,estudiante,mar,noche,pluma
teacher,maestro,pez,cama,Barco
paper,papel,luna,humo,camisa
pen,bolígrafo,madera,carne,silla
pencil,lápiz,árbol,nube,sal
clock,reloj,sol,flor,pez
phone,teléfono,arena,pasto,puente
computer,computadora,estrella,ropa,mano
music,música,plato,humo,perro
movie,película,zapato,mariposa,camino
story,cuento,cabeza,carne,vino
window,ventana,árbol,lago,fuego
glass,vaso,piedra,río,pared
cup,taza,nube,sol,carro
plate,plato,luz,mano,montaña
fork,tenedor,flor,barco,lago
spoon,cuchara,arena,humo,puerta
knife,cuchillo,pan,madera,niña
bed,cama,mar,pez,papel
room,cuarto,silla,árbol,humo
kitchen,cocina,luna,cabeza,tren
bathroom,baño,flor,cielo,camisa
garden,jardín,mano,pan,cama
street,calle,humo,coche,estrella
store,tienda,nube,río,flor
market,mercado,pantera,sol,plato
money,dinero,mesa,lago,nieve
time,tiempo,árbol,humo,pasto
year,año,silla,pez,libro
week,semana,perro,luz,carne
month,mes,papel,arena,mariposa
morning,mañana,cielo,río,pan
evening,tarde,flor,tren,nube
night,noche,verde,pluma,piedra
breakfast,desayuno,mano,cama,lago
lunch,almuerzo,nube,sol,cuchillo
dinner,cena,pasto,niña,estrella
coffee,café,madera,coche,piedra
tea,té,pantera,árbol,zapato
juice,jugo,flor,arena,puerta
salt,sal,estrella,mariposa,luna
sugar,azúcar,pan,río,cama
oil,aceite,plato,viento,noche
meat,carne,hoja,papel,flor
egg,huevo,silla,cabeza,montaña
cheese,queso,nube,sol,pluma
butter,mantequilla,pantera,barco,árbol
